filename,type,status,start_time,estimated_time,print_duration,filament_used,slicer,energy_consumption,average_power,max_power,average_current,max_current
[a]_1515_raspi_mount_ABS_5h50m.gcode,job,error,"Apr 19, 2025 10:31 AM",21022,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
Body2_ABS_27m13s.gcode,job,completed,"Apr 19, 2025 9:58 AM",1633,1484,2942.972,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_fan_grill_x2_ABS_6h17m.gcode,job,completed,"Apr 17, 2025 8:18 PM",22613,20769,41114.882,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_fan_grill_x2_ABS_5h7m.gcode,job,completed,"Apr 17, 2025 8:06 PM",18398,200,40076.196,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_fan_grill_x2_ABS_5h20m.gcode,job,cancelled,"Apr 17, 2025 7:17 PM",19183,437,501.999,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_fan_grill_x2_ABS_5h6m.gcode,job,completed,"Apr 17, 2025 5:26 PM",18388,830,39429.503,OrcaSlicer 2.2.0,--,--,--,--,--
[a]_foot_mount_b_x2_ABS_8h18m.gcode,job,completed,"Apr 16, 2025 7:10 PM",29885,26677,56552.066,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_4h48m.gcode,job,completed,"Apr 15, 2025 7:19 PM",17301,16705,34982.393,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_2h54m.gcode,job,error,"Apr 15, 2025 6:22 PM",10431,0,0,OrcaSlicer 2.2.0,--,--,--,--,--
keystone_skirt_ABS_3h40m.gcode,job,completed,"Apr 14, 2025 8:19 PM",13196,12714,34512.862,OrcaSlicer 2.2.0,--,--,--,--,--
Body1_ABS_3h14m.gcode,job,completed,"Apr 14, 2025 4:52 PM",11610,10423,25491.603,OrcaSlicer 2.2.0,--,--,--,--,--
